module_code,module_name
PRRS101|D1|22,LAW FOR LIFE
CEDB301|D1|22,2 AND 3-DIMENSIONAL DESIGN STUDIES I
PHIS101|D1|22,2 AND 3-DIMENSIONAL DESIGN STUDIES II
ATHB301|D1|22,2 AND 3 DIMENSIONAL STUDIES III
INSL101|P1|22,2-DIMENSIONAL STUDIES  1B
MMTC101|I1|22,3-DIMENSIONAL STUDIES IB
NENS102|D1|22,APPLIED ADMINISTRATIVE MANAGEMENT
ADCS702|D1|22,APPLIED ANATOMY AND PHYSIOLOGY IB
AHRK802|D3|22,ANALYTICAL BIOCHEMISTRY III
COME101|D1|22,ACADEMIC & QUANTITATIVE LITERACY
EQDV101|P1|22,ANALYTICAL CHEMISTRY III (ATOMIC SPECTROSCOP)
MDRC301|D1|22,ANALYTICAL CHEMISTRY III (CHROMATOGRAPHY)
APDB301|D1|22,ACCOMMODATION MANAGEMENT III
EMAN301|P1|11,ACCOUNTING I
MTBE101|D1|22,ACCOUNTING II
HOWP101|D1|22,ACCOUNTING 302
INDE101|D1|22,ACCOUNTING PROFESSIONAL PRACTICE 1B
BSYS101|P1|22,ACCOUNTING III